KEEP DOMAIN-KEYWORD,rithmic <= manual-include
KEEP DOMAIN-SUFFIX,takeprofittrader.com <= manual-include
KEEP DOMAIN-SUFFIX,workmarket.com <= manual-include
KEEP DOMAIN-SUFFIX,bandwagonhost.com <= manual-include
KEEP DOMAIN-SUFFIX,boostnet1.com <= manual-include
KEEP DOMAIN-SUFFIX,ssrdog.com <= manual-include
KEEP DOMAIN-SUFFIX,eton.club <= manual-include
KEEP DOMAIN-SUFFIX,nssurge.com <= manual-include
KEEP DOMAIN-SUFFIX,stripchat.cam <= manual-include
KEEP DOMAIN-SUFFIX,bybit.biz <= candidate
KEEP DOMAIN-SUFFIX,unpkg.com <= candidate
KEEP DOMAIN-SUFFIX,typekit.net <= use.typekit.net
KEEP DOMAIN-SUFFIX,applovin.com <= candidate
KEEP DOMAIN-SUFFIX,facebook.net <= connect.facebook.net
KEEP DOMAIN-SUFFIX,huggingface.co <= huggingface.co
KEEP DOMAIN-SUFFIX,t66y.com <= t66y.com
KEEP DOMAIN-SUFFIX,avmeme.com <= candidate
KEEP DOMAIN-SUFFIX,rsshub.app <= rsshub.app
KEEP DOMAIN-SUFFIX,fox.com <= candidate
KEEP DOMAIN-SUFFIX,neverless.com <= candidate
KEEP DOMAIN-SUFFIX,odysee.com <= odysee.com
